category,yes,no,point,sub
Implementation and format,You have provided your README file and your implementation is accessible. ,You did not provide a README file and/but your implementation is not accessible. ,4,
Implementation and format,You have provided a READ ONLY link to overleaf for your project report.,You did not provide a READ ONLY link to overleaf for your project report.,3,
Implementation and format,You have provided exact commit hash for your GitHub,You did not provide commit hash for your GitHub for us to consider. Plase make sure to add your GitHub commit hash for your upcoming assisgnments,3,
Implementation and format,You have used proper reference style in your report,You did not follow proper reference style for your report. ,2,
Implementation and format,Your graphs/figures are readable. Good job!,"Your figures/graphs are not readable, it requires us to zoom while we are trying to read the graphs/figures.",2,14
Hypothesis,You have justified your hypotheses explicitly.,You did not justify your hypotheses explicitly.,2,
Hypothesis,You build your hypothesis using evidences.,Your hypothesis is not grounded by evidence. You should have provided explicit evidence and ground your hypothesis around those.,1,
Hypothesis,You followed up with the hypothesis in your discusssion/conclusion.,You cannot just state a hypothesis since it needs to follow through from a narrative perspective at the end of your report.,2,
Hypothesis,You have provided direct evidence to support whether your hypothesis has been met.,You didn't provide a direct evidence to support whether your hypothesis has been met.,1,6
NN-HC,You have explained the convergence.,You did not explaine the convergence. You needed to explain if and how the convergence occurred.,1,
NN-HC,You have connected back to the structure of the problem.,We wanted to see that you have connected back the structure with the problem. You could have done by connecting this with algorithm and data.,1,
NN-HC,You have compared RO approach with other RO approaches.,You did not compare the RO approach with other RO approaches. You could have compared hill climbing vs SA vs GA.,1,3
NN-HC,You dicusssed the analysis of hyperparameters and their impact on algorithmic behavior.,You did not dicuss about the analysis of hyperparameters and their impact on algorithmic behavior.,2,
NN-HC,You have hypothezied about improvement.,"You did not hypothezie about improvement. You could have done this by discussing about further exploration of hyperparameters, modifying algorithms. ",2,4
NN-HC,You have compared performance and time for backprop vs RO.,You have not compared performance and time for backprop vs RO.,1,
NN-HC,You have explained why backprop or RO performed better.,You did not explain why backprop or RO performed better.,1,2
NN-SA,You have explained the convergence.,You did not explaine the convergence. You needed to explain if and how the convergence occurred.,1,
NN-SA,You have connected back to the structure of the problem.,We wanted to see that you have connected back the structure with the problem. You could have done by connecting this with algorithm and data.,1,
NN-SA,You have compared RO approach with other RO approaches.,You did not compare the RO approach with other RO approaches. You could have compared hill climbing vs SA vs GA.,1,3
NN-SA,You dicusssed the analysis of hyperparameters and their impact on algorithmic behavior.,You did not dicuss about the analysis of hyperparameters and their impact on algorithmic behavior.,2,
NN-SA,You have hypothezied about improvement.,"You did not hypothezie about improvement. You could have done this by discussing about further exploration of hyperparameters, modifying algorithms. ",2,4
NN-SA,You have compared performance and time for backprop vs RO.,You have not compared performance and time for backprop vs RO.,1,
NN-SA,You have explained why backprop or RO performed better.,You did not explain why backprop or RO performed better.,1,2
NN-GA,You have explained the convergence.,You did not explaine the convergence. You needed to explain if and how the convergence occurred.,1,
NN-GA,You have connected back to the structure of the problem.,We wanted to see that you have connected back the structure with the problem. You could have done by connecting this with algorithm and data.,1,
NN-GA,You have compared RO approach with other RO approaches.,You did not compare the RO approach with other RO approaches. You could have compared hill climbing vs SA vs GA.,1,3
NN-GA,You dicusssed the analysis of hyperparameters and their impact on algorithmic behavior.,You did not dicuss about the analysis of hyperparameters and their impact on algorithmic behavior.,2,
NN-GA,You have hypothezied about improvement.,"You did not hypothezie about improvement. You could have done this by discussing about further exploration of hyperparameters, modifying algorithms. ",2,4
NN-GA,You have compared performance and time for backprop vs RO.,You have not compared performance and time for backprop vs RO.,1,
NN-GA,You have explained why backprop or RO performed better.,You did not explain why backprop or RO performed better.,1,2
OP-I,You explained why the problem was interesting from an ML perspective,You did not explain why the problem was interesting from an ML perspective,3,
OP-I,"You explained algorithminc behavior, and explaiend results in the context by connecing back to algorithm, hyperparametersm, and problem selection.","You did not explain algorithminc behavior, and explaiend results in the context by connecing back to algorithm, hyperparametersm, and problem selection in detail.",6,
OP-I,You presented performance vs iterations and explained results using plot/table.,You needed to present performance vs iterations in detail. ,3,
OP-I,"You discussed about performance vs size of problem, and used plot/table to explain the results.","You did not discuss about performance vs size of problem, and used plot/table to explain the results.",3,
OP-I,You have explained convergence criterion and behavior.,Your discussion on explaination on convergence criterion and behavior is very brief or not present.,3,
OP-I,"You have done an extensive hyperparameter exploration, modifying algorithm behavior,
adding domain knowledge, etc.","You did not discuss in detail about the hyperparameter exploration, modifying algorithm behavior,
adding domain knowledge, etc.",4,
OP-I,You have shown some creativity in your discussion and analysis.,No creativity,3,25
OP-II,You explained why the problem was interesting from an ML perspective,You did not explain why the problem was interesting from an ML perspective,3,
OP-II,"You explained algorithminc behavior, and explaiend results in the context by connecing back to algorithm, hyperparametersm, and problem selection.","You did not explain algorithminc behavior, and explaiend results in the context by connecing back to algorithm, hyperparametersm, and problem selection in detail.",6,
OP-II,You presented performance vs iterations and explained results using plot/table.,You needed to present performance vs iterations in detail. ,3,
OP-II,"You discussed about performance vs size of problem, and used plot/table to explain the results.","You did not discuss about performance vs size of problem, and used plot/table to explain the results.",3,
OP-II,You have explained convergence criterion and behavior.,Your discussion on explaination on convergence criterion and behavior is very brief or not present.,3,
OP-II,"You have done an extensive hyperparameter exploration, modifying algorithm behavior,
adding domain knowledge, etc.","You did not discuss in detail about the hyperparameter exploration, modifying algorithm behavior,
adding domain knowledge, etc.",4,
OP-II,You have shown some creativity in your discussion and analysis.,No creativity,3,25
Conclusion,"You have discussed which algorithm performed best and why. You have shown wall clock times, trade-offs discussion. ",You did not provided an overall comparison between your runs on each data set. You also did not consider Type I and Type II errors. ,3,3
EC,MIMIC,Did not implement MIMIC,5,5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,105,105
